Gene,memory_vs_intermediate_log2FoldChange,memory_vs_intermediate_pvalue,memory_vs_intermediate_padj,memory_vs_effector_log2FoldChange,memory_vs_effector_pvalue,memory_vs_effector_padj,intermediate_vs_effector_log2FoldChange,intermediate_vs_effector_pvalue,intermediate_vs_effector_padj
Gnai3,-0.09900617125706818,0.5659226876687877,0.8906765314164904,-0.3740351002965131,0.020372327266547686,0.06678749503142219,-0.2750289290394449,0.08811063348139926,0.19914764903320856
Cdc45,-0.5762444325133089,0.038406465424143804,0.27921307718063143,2.2227476957861496,5.0204941330552946e-17,3.763480037147224e-15,2.7989921282994583,3.912562876315328e-26,6.679303767424024e-24
Scml2,0.6197876164495111,0.8285470939624935,NA,-3.047599042069172,0.23547772157302774,0.41799453677819925,-3.6673866585186836,0.16046605526482008,NA
Narf,0.44553641667118254,0.021905915555203423,0.20187630733907985,0.10692326597694471,0.5548046194388739,0.7303901507727876,-0.33861315069423786,0.0627930530623622,0.15453307836484437
Cav2,0.3831195869265561,0.7215112685570694,0.9404066509651207,0.9147233507312704,0.37160336276652517,0.5710795888938982,0.5316037638047143,0.6110177057560049,0.7613261500929441
Klf6,-0.069345382222022,0.6469658290294564,0.9197941278761034,-0.6552965413054008,3.6200762221783176e-6,4.208779078296349e-5,-0.5859511590833788,3.45152491230818e-5,3.0584752003663055e-4
Scmh1,2.312091993714675,0.003184814306928186,0.058362637350983994,2.9985666932576134,3.69560479537945e-5,3.3055644290573257e-4,0.6864746995429384,0.36645948534865336,0.5548798253129668
Cox5a,-0.42865955286332924,0.003267437969860514,0.05907835756438305,0.27616038920123553,0.0430473746004506,0.12031774779121263,0.7048199420645648,2.3767733238972841e-7,3.695484917174867e-6
Tbx2,1.2959307807686755,0.4891402371422644,NA,0.3480108127678835,0.8341723675023125,NA,-0.9479199680007919,0.5957393723583939,NA
Ngfr,-1.1141680557463134,0.10011234528692765,0.4450895484967896,-2.0390135370877545,0.0010513223600288927,0.005915908251136703,-0.9248454813414408,0.10506622227896227,0.22771834418020973
Wnt3,1.686972993467307,0.39672981556240056,NA,1.531328382849288,0.3979607762780515,NA,-0.15564461061801874,0.9380971848131415,NA
Wnt9a,0.6586833729613039,0.825062007750118,NA,-0.15980723449207965,0.9534560994672089,NA,-0.8184906074533835,0.7693162967303437,NA
Fer,-1.991189006277813,0.008454132531482337,0.10958067882066902,0.14174057688000533,0.8525815941954116,0.9267033817633316,2.1329295831578183,0.0028046575580646512,0.012657653344057626
Xpo6,-0.4830550729558171,0.024467140435916322,0.21563273630172136,-0.5242047662889285,0.009021698911535302,0.03492849224258713,-0.0411496933331114,0.8374475532744831,0.9091940183174486
Tfe3,0.0974288593115583,0.6887854352477474,0.9316687362028472,0.5533987005678729,0.015221230944401429,0.052574431000558315,0.4559698412563145,0.045734699315215246,0.1213079714812032
Axin2,-0.35323132775051697,0.23670029157152742,0.6659101373786592,-1.298239090435122,2.2359713713224687e-6,2.7381861304588755e-5,-0.945007762684605,5.441175288875513e-4,0.0031884715440591007
Brat1,0.1131878745277672,0.5789731219439613,0.8966069434825231,0.21460077474685263,0.2608354233560168,0.448347639340535,0.10141290021908544,0.5956496499196204,0.7502924187044349
Gna12,-0.42428177920727433,0.24832823315146296,0.6815453642853804,-0.38118824163245646,0.26803191674803156,0.4573825907665238,0.043093537574817875,0.8996673441845852,0.9449076946580519
Slc22a18,2.2749128712970133,0.021850275643954035,NA,5.058587195753467,8.256678714240744e-5,6.699576804544257e-4,2.7836743244564532,0.036229468963868756,0.10103667540682186
Itgb2l,0.552103804220806,0.8160653400719565,NA,1.5070802582509282,0.5066581031783864,0.6910236431595593,0.954976454030122,0.675202892876511,0.8067397335631828
Igsf5,-2.4209427738646467,0.14341051347561778,NA,-3.026056830996189,0.052796373498441185,0.14114215164512134,-0.6051140571315416,0.6323132729076222,NA
Pih1d2,-0.20650607983259373,0.8230382956696641,0.9644778363099842,-0.2945176001038195,0.7327105533115079,0.8540265612600987,-0.08801152027122576,0.9194126678414101,0.9558646490794673
Dlat,-0.15165040848095343,0.43527665763590007,0.8286108361419886,0.007575034192948469,0.9667776839314857,0.9854052634143537,0.15922544267390193,0.38143126265283456,0.5693562655408567
Sdhd,-0.19990649074625266,0.29688115192474535,0.7271740981926893,0.4811917031226009,0.007349564830584875,0.029676538991381254,0.6810981938688536,1.4764347490354708e-4,0.0010519911989507421
Fgf23,-0.7922640698930312,0.5459701309956404,NA,-0.1173687582766124,0.9257659241083155,0.9637310548589213,0.6748953116164188,0.5801889507755946,NA
Ccnd2,0.2117164600174621,0.3641525888473851,0.7849763012430855,-0.7469892792072034,6.178376501826166e-4,0.0037604218925395604,-0.9587057392246655,1.1134757852346657e-5,1.1506145699182185e-4
Gpr107,0.0382789267894909,0.8456705738588199,0.9693382672392815,0.1835211306549593,0.31854675766488827,0.5149867993434523,0.1452422038654684,0.4302595950958271,0.6130338124640766
Btbd17,5.213988895721346,0.07171826759568749,NA,4.599557870272404,0.0860816252170388,NA,-0.6144310254489413,0.8321964986012383,NA
Slfn4,0.3344030569291491,0.669035181662221,0.9243005113726854,0.36591574116784503,0.6166906034105251,0.7749837924413377,0.031512684238695916,0.9661066273559517,0.9824912695681157
Th,-0.15133369624041212,0.9278537968291269,NA,0.09301069055032736,0.9527591557646167,NA,0.24434438679073947,0.876787549815618,NA
Drp2,-0.491997983349294,0.5674959985343376,0.89139225713691,1.5099281960212103,0.09775936042090141,0.22362828157569836,2.0019261793705043,0.027061320664419828,0.08007355760801975
Tspan32,-0.4804380199584409,0.044077800149198584,0.2991975055482717,0.037938617608014445,0.8651999781391146,0.9329024735707426,0.5183766375664554,0.020224400658301736,0.06366024892067508
Lhx2,0.21588889677299491,0.8917670799587449,NA,2.589378676009917,0.13344013264663993,NA,2.373489779236922,0.16554642454400167,NA
Clec2g,-0.4162836452825823,0.5826991061340461,0.8980660548145698,0.4163343452847712,0.5735745813821873,0.7445449901951255,0.8326179905673535,0.247322561889637,0.4241626304883267
Gmpr,-2.7808687052111662,0.12178126846319322,NA,-3.2137673507483697,0.05943563500650385,NA,-0.43289864553720275,0.7481029199936393,NA
Mid2,-0.4033731308337604,0.6549193486042977,0.921461638894931,-1.8466733513322235,0.02062446924768411,0.0674900440258463,-1.4433002204984633,0.0672826246953249,0.16240633547147387
Trim25,0.06053873380055109,0.7470192328192757,0.9472011538882357,-0.14268873632675377,0.41579306749421435,0.6125605293336357,-0.20322747012730485,0.24685881163454648,0.42367130884755466
Dgke,0.569866061063304,1.1184329812450483e-4,0.005306897922616013,0.036599531073705484,0.7885608813782135,0.8884885699498191,-0.5332665299895984,1.1546598975818411e-4,8.597000483553271e-4
Scpep1,0.24691031184409973,0.32487771648472896,0.7527020713053596,0.8146886528280515,5.30098369319307e-4,0.003297653605807189,0.5677783409839517,0.015897745714549986,0.0524904846663551
Mnt,0.036631820971512095,0.9149461161188455,0.9846012577708269,-0.6584944049594201,0.03898748160027748,0.1116527685982371,-0.6951262259309322,0.029611309786288207,0.08605127891690145
Itgb2,-0.3178130037133395,0.060572933544274905,0.3519480126544827,-0.7413441605082399,2.8692239881446556e-6,3.420229510108586e-5,-0.4235311567949005,0.007499471487527469,0.028341124460432472
Hddc2,0.06884892314441776,0.6812768272136924,0.9285672202785803,0.34505066990848554,0.02793702114707419,0.0859408775533965,0.2762017467640678,0.07956725432833404,0.18447341531499842
Pemt,0.34970789086902737,0.6233649657597231,0.9112697275909835,1.0231198688474,0.13551408710368845,0.2831996249328919,0.6734119779783725,0.33433230678794623,0.5208473314612478
Cdh1,2.3638990776837248,6.436237331045985e-4,0.019360930522427572,6.696702403186467,9.845890934908896e-16,6.061820686935663e-14,4.332803325502742,2.8592445491971956e-7,4.396614090815173e-6
Bcl6b,-0.4661091294566226,0.542080030467504,0.8800886758540882,-0.40142372114662006,0.577834506323436,0.74791712441204,0.06468540831000254,0.9265254985596807,0.9599784226731565
Clec10a,3.7935927160418985,0.003921748375441232,0.06674236701091164,3.56005245239717,0.0044229981364062015,0.019537089401344552,-0.23354026364472805,0.8598940393982633,0.9236679435447201
Alox12,0.14724518683341156,0.8596365518755228,0.9741969091095273,0.7149139881768662,0.36890722389551467,0.568643364304572,0.5676688013434547,0.48015777302670143,0.6579190131559645
Arvcf,-0.2612862617940512,0.6728840882723186,0.9252951966289349,0.594570690074576,0.3245523958775215,0.5217299887430844,0.8558569518686272,0.15537190428365363,0.30323984585458763
Comt,-2.466069830373017,0.002707511871116716,0.0524333603855393,-2.70938623577285,4.2745142966876777e-4,0.0027507973469632343,-0.24331640539983268,0.7517285660964099,0.8584000348640324
Rtca,-0.36232229364801893,0.0025741865785458913,0.05060450878145147,0.2070630374762284,0.06789925565897713,0.17145638680567077,0.5693853311242474,4.5937222697224167e-7,6.795134710208314e-6
Dbt,0.2803108610867501,0.17540260605681232,0.5825924475757831,0.007189694512280225,0.970245573293125,0.9867539470217296,-0.2731211665744699,0.15793057681894282,0.30676634740286934
