Gene,effector_vs_all_log2FoldChange,effector_vs_all_pvalue,effector_vs_all_padj,intermediate_vs_all_log2FoldChange,intermediate_vs_all_pvalue,intermediate_vs_all_padj,memory_vs_all_log2FoldChange,memory_vs_all_pvalue,memory_vs_all_padj
Gnai3,0.3245322087619734,0.017241784117793695,0.050540543889789236,-0.08801147594466416,0.547172258259645,0.7757971778288477,-0.23652073281730926,0.10569813103803712,0.34108705914083814
Cdc45,-2.5108697748481403,7.914477800722095e-29,1.1077795646698208e-26,1.6876182128786912,1.0875943846464901e-12,1.5658338043396553e-10,0.8232515619694496,5.235682043616106e-4,0.007061520354438351
Scml2,3.3575238093855764,0.12009843143686014,0.23939513769723922,-2.143602648489498,0.37585641888294785,NA,-1.2139211608960787,0.6107512488047728,0.839235773659168
Narf,0.11584512871747875,0.44985605236731185,0.614440880857876,-0.3920748796320562,0.01756001661061997,0.09199484443346695,0.2762297509145781,0.09276546171730145,0.31436187413677397
Cav2,-0.7231630123220693,0.4133219660873095,0.5814168226066447,0.07424174075730335,0.9362594995146574,NA,0.6489212715647661,0.4759208657140728,0.759462024529607
Klf6,0.6206240046526961,2.0716015969032752e-7,2.4499834246828367e-6,-0.2583029656980715,0.04413783381831697,0.17317667878905135,-0.3623210389546233,0.004748514512659643,0.039391086298199304
Scmh1,-1.8425205681879235,0.003549872921582526,0.01341723200423347,-0.8128088465494813,0.23282836108576968,0.4910142664482074,2.655329414737405,4.829268856641255e-5,9.826804920830985e-4
Cox5a,-0.49049004467476,2.1214736065837398e-5,1.5526274973674134e-4,0.566739687206936,4.493614418094982e-6,1.2151514884688499e-4,-0.07624964253217602,0.5373754258411576,0.7981598674129982
Tbx2,0.29995706511113013,0.8360266257857898,NA,-1.1219269432009404,0.4915632409925395,NA,0.8219698780898101,0.5909352665935994,NA
Ngfr,1.4819309124872444,0.0025738875064616204,0.010274903869377539,0.09466079100307008,0.8617679555218242,0.9386839927726804,-1.576591703490315,0.007003783129732233,0.05250589663367938
Wnt3,-0.6878449411534668,0.6731379144382224,NA,-0.9213070660762596,0.6047790846264662,NA,1.6091520072297267,0.31998124999704386,NA
Wnt9a,0.48915572008011476,0.8336255558414554,NA,-0.7385905619739045,0.7713709764434931,NA,0.24943484189378967,0.9204664298403354,NA
Fer,-1.1373349352217166,0.07308716554936032,0.16046932083116905,2.0620593608797466,0.0010365387713091366,0.01127861536395085,-0.9247244256580303,0.16777395666645492,0.44522867627935325
Xpo6,0.2826774744790815,0.09542472428349065,0.19901869757398585,0.2209525681283695,0.22451325114469742,0.4802526540169074,-0.503630042607451,0.005669125602839088,0.045167385430532433
Tfe3,-0.5046840227104855,0.008920448359791186,0.029313784448646164,0.17927036620079445,0.3852889120183179,0.6505437390566646,0.32541365650969173,0.11471392194045409,0.3582509647766053
Axin2,1.1216238248143924,1.0334455059018975e-6,1.0484263694076103e-5,-0.295888414177984,0.23872322752678662,0.4985772283161861,-0.8257354106364084,0.001053655483319825,0.012236677693930973
Brat1,-0.15800663697455083,0.3277863146427862,0.49671146182357756,-0.005887588115951041,0.9728649345701346,0.9889563851746224,0.16389422509050253,0.34311643035760764,0.6551934452169249
Gna12,0.16904782292974443,0.5593898928628409,0.7083021318770549,0.23368743082303448,0.4515116323873873,0.7040267119927281,-0.4027352537527796,0.19725071051785328,0.48756101132516777
Slc22a18,-3.921140599823792,0.0011865997138298479,0.00533077243555054,0.25438575631678273,0.7954292998651556,NA,3.666754843507009,8.94402088007529e-5,0.0016564402306439648
Itgb2l,-1.2310305718674852,0.5257493755579934,0.6795560069617639,0.20143739471748054,0.921006614093305,NA,1.0295931771500049,0.6108410151656227,0.839235773659168
Igsf5,1.8155909951464906,0.11625483763110825,0.23334323000212137,0.907913104020495,0.46700162182130434,NA,-2.723504099166985,0.065697016853895715,0.25447971153664667
Pih1d2,0.19126593570514902,0.7940964387295026,0.8799500121398917,0.05924659174381035,0.9399619206599046,0.9742893974256899,-0.25051252744895935,0.7481976176312709,0.903100239117136
Dlat,-0.0834000471816527,0.587527337732245,0.7328139642725495,0.15543782983636056,0.3456660931419106,0.6143989577347472,-0.07203778265470787,0.6620068264034378,0.8643247410485716
Sdhd,-0.5811447609792412,1.286823086936762e-4,7.741110178506305e-4,0.44050224866340537,0.00671821197790422,0.04628333099000121,0.1406425123158358,0.38691052479457433,0.6940577930451997
Fgf23,-0.2787623831329504,0.7910887309846313,0.8780834957140606,0.7335793547679547,0.504585327446609,NA,-0.45481697163500434,0.6879114793071355,0.8762056792047266
Ccnd2,0.852847944171869,3.7403157657942373e-6,3.330591315107831e-5,-0.5852113171173454,0.003087560416832687,0.026257813725532406,-0.2676366270545236,0.17598044492734446,0.45803305646698417
Gpr107,-0.16438147769220435,0.29077316948418747,0.4569729916209388,0.05348154338157956,0.7485169484448758,0.8911227742268327,0.11089993431062543,0.5058629355412185,0.7794141791119645
Btbd17,-1.992585948338993,0.4039199151077378,NA,-2.9141970470360627,0.25666391151905743,NA,4.906782995375056,0.03949749202042453,NA
Slfn4,-0.19871321911614642,0.7500925800306749,0.8506018522583437,-0.15144572609029747,0.8208725527079475,0.9243534805468585,0.3501589452064439,0.595771366851465,0.8328364535021331
Th,-0.16867666576678025,0.8992792158505527,NA,0.19783860574828405,0.8893569117224733,NA,-0.029161939981503716,0.983582128054721,NA
Drp2,-1.7559283232650535,0.028256090868693833,0.07531034275565586,1.2469626555973077,0.09931912987198746,NA,0.5089656676677459,0.504307387200118,0.7784551034137505
Tspan32,-0.2781573397284396,0.14071607474821193,0.2692773240620021,0.4994071857214684,0.013534410016534644,0.07672130563146087,-0.22124984599302816,0.274455578833123,0.5856835251103916
Lhx2,-2.4814434991457386,0.10359496402115256,NA,1.0788049884419364,0.4431906910326827,NA,1.4026385107038026,0.32308036623611086,NA
Clec2g,-0.624475734045141,0.31677741898522194,0.4847855333167537,0.6244506581171938,0.3289696284059773,0.5962004569513668,2.507592794748763e-5,0.999969528866624,0.9999698605773539
Gmpr,1.823338556260769,0.14362854865495933,NA,1.1739835430061243,0.3811287784968817,NA,-2.9973220992668934,0.06376286061939858,NA
Mid2,1.644989263870231,0.011692019124808972,0.03678212724145347,-0.5199646117789315,0.48687066896744746,0.7316939665950185,-1.1250246520912996,0.1361727845898459,0.3952530129248013
Trim25,0.17295829993825865,0.24323409576202448,0.4019723327804105,-0.13188320073099283,0.4072432028423838,0.6694391120621869,-0.04107509920726519,0.7961641790837102,0.9230761947673292
Dgke,0.24833360414843075,0.03217447906963537,0.08368727744070663,-0.5515663513932395,1.1348713865447078e-5,2.6615558355028146e-4,0.30323274724480936,0.014573698238202473,0.09035074066996014
Scpep1,-0.691233237686412,5.166963173656083e-4,0.0026032427508217767,0.1604338837868331,0.4512490511662361,0.7039028938675749,0.5307993538995789,0.012564604427341985,0.08087585683802098
Mnt,0.6768108575106017,0.011965673032431018,0.03742615189403529,-0.3658792966513923,0.20799543191512462,0.4599802262620215,-0.31093156085920937,0.283833453747332,0.5958659977011965
Itgb2,0.5824378978688112,1.3568005963806058e-5,1.0477775639980575e-4,-0.05285919611873127,0.7127432344211801,0.8711360972918026,-0.5295787017500799,2.2563154604649741e-4,0.003535836034646364
Hddc2,-0.31062608542367875,0.019570003856039388,0.055759572055471,0.10367634912801375,0.46681159287636426,0.717238483955987,0.20694973629566565,0.14501849099743636,0.40952997457689955
Pemt,-0.8482656364354253,0.1524350589843448,0.2860863651741139,0.16185187166130502,0.792724723310937,0.9125730441124866,0.6864137647741202,0.2570650922027349,0.5669411399033126
Cdh1,-5.514758078422465,5.392325121757005e-13,1.558208014216105e-11,0.9844547166627399,0.12980916788947644,0.3474613102966895,4.530303361759724,1.4573437708380808e-12,2.026401814689141e-10
Bcl6b,0.16837039218155953,0.7790053598558231,0.8696909399434792,0.26539675989502154,0.677856489093219,0.8521295617196591,-0.43376715207658106,0.5079827257161886,0.7806996053962247
Clec10a,-1.663256869696599,0.1329101478438144,0.25773549180320154,-2.0135665838004,0.08299273721490719,0.26405853713005767,3.676823453496999,8.27800577339391e-4,0.010138200433672856
Alox12,-0.6412908889078627,0.3477285283415721,0.5170724057028715,0.21021152772551568,0.7688408420914885,0.9022419814098532,0.431079361182347,0.5427420404436445,0.8023068377812825
Arvcf,-0.7252133344073945,0.16109721865580406,0.29843280169725517,0.5585713694236338,0.2927549403086384,0.5609893014063473,0.16664196498376072,0.75405702527031,0.9057105331524998
Comt,1.4763573078611203,0.023134262648523092,0.0640905287785588,1.111373719737634,0.11086283120743418,0.31439105643705895,-2.587731027598754,2.056074280639708e-4,0.003286717280730628
Rtca,-0.3882241179152189,5.1527437262857266e-5,3.417723521723808e-4,0.4658537800332374,4.832488848318591e-6,1.2822588584045355e-4,-0.07762966211801853,0.44799442625798264,0.7400447720722999
Dbt,0.13296593370172055,0.4147791293367054,0.5825637253995307,-0.27671611444317207,0.11493681996197333,0.3214303261850222,0.14375018074145154,0.4113653345847678,0.7130941660085099
