pathway,memory_vs_intermediate_padj,memory_vs_intermediate_NES,memory_vs_effector_padj,memory_vs_effector_NES,intermediate_vs_effector_padj,intermediate_vs_effector_NES
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.02712861578689329,2.22200839198707,0.03314531023810712,1.9445558982714994,0.03816091954022989,1.4491674431086403
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.025944594224983394,2.1606786224291943,0.1503418919530861,1.535352883088608,0.9282753173374425,-0.846233332016815
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.025944594224983394,2.0123678627606205,0.03314531023810712,1.8319023807237098,0.8920224472879369,0.9042399010502417
BIOCARTA_41BB_PATHWAY,0.025944594224983394,1.9983894617207387,0.1689715226363629,1.5320213965183012,0.9318192471757372,0.7874345999095207
KEGG_PRIMARY_IMMUNODEFICIENCY,0.025944594224983394,1.952209393664237,0.2426484863019174,1.4285412970722364,0.8579899570578814,0.9060175007159278
BIOCARTA_TH1TH2_PATHWAY,0.025944594224983394,1.937096325190682,0.13920335429769393,1.6095658588737531,0.9282753173374425,0.7945805537280951
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,0.04411227370868626,1.895463354317929,0.2362409520304257,1.4929115455419015,0.952503001754872,0.6760834918713238
REACTOME_PROSTANOID_LIGAND_RECEPTORS,0.05379422090197137,1.8847850800147632,0.1691019641549677,1.5724159615058175,0.9541737918349164,0.6787460038690691
PID_CD40_PATHWAY,0.025944594224983394,1.884616267139673,0.10226397659017404,1.7199209408208582,0.6679264085135986,1.0909495779430471
REACTOME_PD1_SIGNALING,0.04385153876634527,1.863665427125763,0.7920051579626048,0.8916766120941676,0.3521827825377397,-1.402922922767431
BIOCARTA_NKT_PATHWAY,0.025944594224983394,1.8453715549260568,0.04506430486273711,1.8805724888448303,0.5476725292188243,1.200153242331778
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,0.04385153876634527,1.8288807932661728,0.43900826446280994,1.256580682106538,0.9333913626381323,-0.7684973347612096
BIOCARTA_CD40_PATHWAY,0.04385153876634527,1.8273216661314216,0.9714677114441492,0.6043502534332298,0.37486050389276193,-1.3885795351881771
REACTOME_REGULATION_OF_IFNA_SIGNALING,0.05487603305785124,1.8269545371289508,0.08672275492767662,1.6948921006066855,0.807574173599352,0.965091677552393
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.05379422090197137,1.825993701323489,0.03314531023810712,2.0359176838176967,0.5476725292188243,1.1937520882439587
PID_IL23_PATHWAY,0.025944594224983394,1.8207306393585476,0.27695241121792324,1.3772555953262386,0.6843949701092559,1.0783110181340598
REACTOME_ION_CHANNEL_TRANSPORT,0.04385153876634527,1.818749862542816,0.39253313931015665,1.2861258188727627,0.9634086211496915,-0.7406163134549717
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS,0.05379422090197137,1.7968708985265311,0.9133948529833209,-0.7426116196205108,0.32643575418994414,-1.421634683575544
BIOCARTA_TNFR2_PATHWAY,0.04385153876634527,1.7933873111827234,0.46127429777305917,1.2522449093029968,0.8151344418487472,-0.9438107360841383
KEGG_TYPE_II_DIABETES_MELLITUS,0.054529030138786246,1.7589736867537877,0.14755555555555555,1.5984245743493868,0.442527586568031,1.2508749747063495
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION,0.06573606573606573,1.7354762094525646,0.7187214805696458,0.9895944911645563,0.9333913626381323,-0.7899890594453313
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,0.06573606573606573,1.719634313926625,0.03314531023810712,1.8634224776794992,0.10062477182396176,1.5632769795536883
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,0.08546788518470845,1.6987019582986955,0.3458716133947117,-1.3492256697036866,0.0599783210887631,-1.8282683191426512
BIOCARTA_INFLAM_PATHWAY,0.09295256379489641,1.6906361259059608,0.12186964679011339,1.6609163744782782,0.3120408572277625,1.37601998930874
REACTOME_IL_6_SIGNALING,0.10101701619467075,1.6782510687213188,0.11954271311549194,1.6532259981332285,0.6351279013645736,1.1337549064370416
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,0.08546788518470845,1.6749755990038664,0.7488184970128037,-0.9340140763622541,0.20186701956436212,-1.5005696523107162
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.09453783649103538,1.652714377456086,0.14588330068291255,1.6441512544972772,0.762090909090909,0.9850131049053547
KEGG_ALLOGRAFT_REJECTION,0.09453783649103538,1.6345355849172996,0.0714218487394958,1.7552936148390195,0.7376896428144786,1.023847672344571
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.10718513469885568,1.6312404876543272,0.14493069955254828,1.602666695455549,0.8378055229817665,0.9472063982435478
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.04385153876634527,1.6275075620314037,0.03314531023810712,1.6741765711339145,0.528292569171045,1.163666714346038
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,0.13900161030595812,1.6261681819151166,0.9323515930071309,0.6791583647086864,0.6679264085135986,-1.1091536727784772
KEGG_PHENYLALANINE_METABOLISM,0.1445813114346149,1.6227562738930208,0.1503418919530861,1.5529560009037506,0.41496199162792197,1.3417981533875236
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,0.05487603305785124,1.6223717433669878,0.7412344132171919,0.9677359707930576,0.9333913626381323,-0.8293993557305176
