pathway,effector_vs_all_padj,effector_vs_all_NES,intermediate_vs_all_padj,intermediate_vs_all_NES,memory_vs_all_padj,memory_vs_all_NES
REACTOME_SIGNALING_BY_BMP,0.03542466922748613,2.258299027797724,0.024483775811209443,-2.0618561289450734,0.11401098901098902,-1.9314719453406557
PID_BETA_CATENIN_DEG_PATHWAY,0.03555555555555556,2.252839193196015,0.2917892032586283,-1.439889956510668,0.06304296225967244,-2.168003828447952
KEGG_REGULATION_OF_AUTOPHAGY,0.03542466922748613,2.066947757121423,0.5758483335854384,-1.142798697100542,0.06304296225967244,-2.076438974434794
PID_WNT_CANONICAL_PATHWAY,0.03542466922748613,2.0501729822116612,0.02468860382970812,-1.8972639897008123,0.161596495497688,-1.7767437250380849
ST_WNT_BETA_CATENIN_PATHWAY,0.04852027767628791,1.9330781004738682,0.4581999706357363,-1.2133916436495291,0.14079728583545378,-1.7049855237867066
KEGG_NOTCH_SIGNALING_PATHWAY,0.03591858813983366,1.9192095934777762,0.03226433430515063,-1.9950630597041497,0.20232686980609418,-1.4260378055714558
PID_BMP_PATHWAY,0.06577448465096929,1.9118500599285895,0.20402519588262408,-1.505155586398563,0.06304296225967244,-1.9488608398085294
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,0.049397411099538754,1.9052302466024922,0.0826487428429176,-1.8303452196215564,0.14255045083726922,-1.4776850510129746
PID_TGFBR_PATHWAY,0.03591858813983366,1.8928951604874142,0.19674074074074074,-1.431046671003036,0.06307590006649569,-1.868168136308344
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.09345531315974667,1.8749363562994004,0.0885687608376684,-1.8741034432712769,0.2546712802768166,-1.5344736273571524
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,0.046586138752791786,1.8567991229999028,0.07347266213917204,-1.8349863495271412,0.2509984386556003,-1.5760711655212727
BIOCARTA_CTL_PATHWAY,0.06248823640127988,1.8483956667526615,0.20233621127475876,-1.5690102817795695,0.20232686980609418,-1.748602170120975
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK,0.0621460994899153,1.8279963986910786,0.46843566519502977,-1.2858103262523937,0.20232686980609418,-1.6842423582965635
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,0.03591858813983366,1.7659681006055534,0.83821552888656,-0.9108886593875174,0.06304296225967244,-2.1288710722551922
BIOCARTA_PITX2_PATHWAY,0.11607232044750775,1.7590629822761097,0.2636714318130247,-1.4923644272063912,0.4898819561551433,-1.2004148824308065
REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1,0.132829886724513,1.7355042595375842,0.654168075575983,-1.0849801991828352,0.20232686980609418,-1.6848633668687067
BIOCARTA_SHH_PATHWAY,0.14221460698222319,1.7129669572798412,0.10099243317236396,-1.7676830141506996,0.16938775510204082,-1.7546786921343298
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,0.14220445459737294,1.7044488459308413,0.02562519296079037,-1.9363736933029825,0.7363492342897376,0.9244161652970418
PID_S1P_META_PATHWAY,0.15057030771672827,1.654641382917756,0.9409854620687096,-0.7709523986903454,0.20282550591828943,-1.5806751812175917
BIOCARTA_EGFR_SMRTE_PATHWAY,0.1605739389786788,1.6503305184337793,0.0590458405584456,-1.813026903913536,0.663042069054929,-1.0228926979956674
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING,0.1666286444312634,1.6472520259256702,0.02622950819672131,-2.0322984081832147,0.6814835787089468,-1.0019508002184667
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,0.16140723061964113,1.6407211059633673,0.6779486602297669,-1.062639444206014,0.23631207251292888,-1.5421982651973556
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,0.19975531978901345,1.6307622070721837,0.13882329791420703,-1.5796860967035546,0.161596495497688,-1.7459040400306223
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS,0.053614324067906095,1.6250603300270323,0.061481481481481484,-1.8867180768323535,0.6317508276815275,-1.0424982897336457
PID_WNT_NONCANONICAL_PATHWAY,0.1689567430025445,1.6235050884206965,0.4100460824123648,-1.2477420559086718,0.161596495497688,-1.670255353981554
REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA,0.22466587717814246,1.614146813486387,0.2783536585365854,-1.4983343110223133,0.4224387780863418,-1.3138783517840813
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,0.18881836185446607,1.6113053013441703,0.3068484848484848,-1.4321691581154061,0.22722301987011154,-1.6059855397174567
BIOCARTA_TCYTOTOXIC_PATHWAY,0.21210963812751302,1.6067967611587608,0.13882329791420703,-1.7058215774901009,0.5424894918461025,-1.1688248217973087
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK,0.23075385965369546,1.5980630421323547,0.39735166793990323,-1.3729836578009538,0.29680988968963107,-1.465640578246592
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,0.18881836185446607,1.5978607255583488,0.061481481481481484,-1.7489368831040513,0.278724843170635,-1.4724387681933984
ST_INTERLEUKIN_4_PATHWAY,0.210419988314402,1.5949770318805725,0.8281142746652486,-0.9342625612163908,0.28390150792135904,-1.432242923456642
BIOCARTA_RAB_PATHWAY,0.22834389140271494,1.588790566351294,0.9577784602212978,-0.6946120528158675,0.08639084048920113,-1.9812221846826084
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,0.19975531978901345,1.5802576551576546,0.061481481481481484,-1.7521301408323993,0.6481012658227848,-1.0360992309628965
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.2356965374810417,1.5732249082082015,0.2600747127280917,-1.4855366181766352,0.475486277644551,-1.2756815643658763
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.16759597072118584,1.5582183707493034,0.21154918359219432,-1.4729562464854093,0.3003538467150622,-1.391106048457126
PID_CD8_TCR_PATHWAY,0.09220781475116735,1.556351285288323,0.24862100456621003,-1.3463384891495525,0.2557593543653705,-1.3318839831020772
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION,0.21824381926683717,1.5524218336748925,0.08970851487823826,-1.6301768553109899,0.6004765896774108,-1.0563526375961616
BIOCARTA_CSK_PATHWAY,0.22372595816369506,1.5401385434366177,0.2928289048841568,-1.4312225908451623,0.43160702217774183,-1.257078613516977
BIOCARTA_CARM1_PATHWAY,0.24229155263638022,1.5366447261539766,0.3068484848484848,-1.4398003099856147,0.178622668579627,-1.723270912650535
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE,0.22283540905362068,1.5217472202204465,0.9962093099348003,-0.4859218835675501,0.16938775510204082,-1.733727351828
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.30747020769492683,1.5092901141429982,0.4408638214860194,-1.3433141538386697,0.305823677648158,-1.4581836855839163
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN,0.2339675828047921,1.5068270056780695,0.3015282508077897,-1.4305399031583295,0.4571491517955497,-1.2464592615256804
BIOCARTA_RARRXR_PATHWAY,0.275161347259207,1.505746865052739,0.5782643647360564,-1.1367774315628225,0.24964539007092196,-1.5069143484980296
REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10,0.26901751885058334,1.5047282578846908,0.5364017213076552,-1.2079557048199405,0.7352696150721577,-0.922164261196025
KEGG_BASAL_CELL_CARCINOMA,0.21052186595083597,1.50434029527249,0.0934323002779048,-1.6659027843404561,0.7789556436500367,0.8860758862025454
PID_INSULIN_PATHWAY,0.17217907661190993,1.4987824450453013,0.8434667128587101,-0.9243796871495773,0.161596495497688,-1.5540296078197429
BIOCARTA_ACE2_PATHWAY,0.22672234917132877,1.4956694581894647,0.9167021848303466,0.7742314800766971,0.5299684542586751,-1.2161880498771995
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES,0.2546367312787617,1.489239121902988,0.24862100456621003,-1.4425042465441607,0.479666095890411,-1.184911068272768
PID_RAS_PATHWAY,0.22210058991668188,1.4863146131653415,0.9430469784501447,0.7638074700861139,0.161596495497688,-1.5825403031963747
KEGG_PEROXISOME,0.061074319352465045,1.4834144572570922,0.2928289048841568,-1.295031968825017,0.4619130434782609,-1.156801752861347
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,0.24247403857126554,1.478102067106197,0.15726315789473685,-1.5368904877428844,0.20792985498867853,-1.5530555540577111
BIOCARTA_TGFB_PATHWAY,0.2530083459321263,1.4753608658295887,0.10876330876330877,-1.650791431081381,0.7352696150721577,-0.9290345619734125
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,0.308250279264772,1.4744409377052419,0.4912769813101148,-1.2271528482670606,0.22863607855675935,-1.5875069602607588
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX,0.3326477877972895,1.474222592422322,0.18102128551955543,-1.632896801583621,0.7529899150795288,0.8848073868631343
KEGG_OLFACTORY_TRANSDUCTION,0.24247403857126554,1.4706776693934094,0.5546267726351877,-1.1585145690913903,0.23758670042937355,-1.524521550718022
BIOCARTA_CHREBP2_PATHWAY,0.24247403857126554,1.4600080110494429,0.8755668478435661,0.8625967079219192,0.06304296225967244,-2.02077501410535
BIOCARTA_THELPER_PATHWAY,0.3133830860446594,1.456408866848324,0.1950503047661012,-1.6094904998092199,0.6675747551404294,-0.998232500896076
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,0.36902867247694837,1.4562240398302069,0.693020221787345,-1.054612964697179,0.43858093897203243,-1.327317533396742
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.2690703512621321,1.4495837781211078,0.04875094069492117,-1.8706575354631418,0.9071803262097929,-0.7476173527116418
PID_HEDGEHOG_GLI_PATHWAY,0.21210963812751302,1.4493170546867464,0.9288822104602135,0.8011171774131017,0.06304296225967244,-1.8886674925408744
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE,0.33768727393499703,1.4333114592996938,0.9650289540354687,0.6843498856144405,0.0875411997363217,-1.9446102322894727
REACTOME_PI_3K_CASCADE,0.221949860724234,1.4324902874550722,0.7334556285381778,-1.0001536351437472,0.28390150792135904,-1.3332027005412965
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA,0.28253246276868904,1.432141487045089,0.1364149974319466,-1.5779522905372478,0.7144519684303927,-0.9630240910146518
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY,0.25589461514206635,1.4308600195701062,0.83821552888656,-0.9076485982459989,0.22722301987011154,-1.4943735597348262
REACTOME_PEROXISOMAL_LIPID_METABOLISM,0.2904425165852592,1.4297835752529136,0.46567656765676574,-1.2401160981752524,0.20237732398658945,-1.6307832784245846
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR,0.31749718228081564,1.427721382415994,0.27657543518631006,-1.5089948872246228,0.4898819561551433,-1.233981842398995
PID_PI3KCI_AKT_PATHWAY,0.25589461514206635,1.4251734839510377,0.476723504935955,-1.1921318746195684,0.19558173784977909,-1.560442050074909
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.36902867247694837,1.4235959110889682,0.6511000796715082,-1.1338975545442245,0.5338180292914817,-1.2084401354994192
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.25886939571150097,1.414423875257964,0.9444980527993172,-0.7907987597783026,0.16938775510204082,-1.611113585972359
BIOCARTA_PS1_PATHWAY,0.35951131332361086,1.4124751129491566,0.3342851524090462,-1.4117042356553773,0.5422679240995342,-1.1500925734749563
REACTOME_SIGNALING_BY_ERBB2,0.12351190476190477,1.409988852214942,0.7305966991112992,-0.9885217551258957,0.161596495497688,-1.5263760987160797
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,0.1798320844994132,1.4056310326732333,0.2300773373245232,-1.3839271277215233,0.3007301968758665,-1.2992066389159556
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,0.29050000000000004,1.3990026835628142,0.8463527440911904,-0.8960963140060876,0.21645787733432684,-1.528252481617452
BIOCARTA_AGPCR_PATHWAY,0.36902867247694837,1.3974994216137415,0.9411572189013061,-0.7441368848180985,0.24964539007092196,-1.5424129018025645
BIOCARTA_BIOPEPTIDES_PATHWAY,0.2934806629834254,1.3972259932083486,0.9962804145145049,0.5419353794474802,0.17092634133784432,-1.566776176823527
PID_THROMBIN_PAR4_PATHWAY,0.3827669902912621,1.3924342422313702,0.9111206926689429,0.8156139738075888,0.31421623397962534,-1.4356279122703783
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,0.36554726990641107,1.3879133331230848,0.10099243317236396,-1.7946171071373984,0.932263139771363,-0.689593823505714
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS,0.3936724695090171,1.3866959587461745,0.6333000272504314,-1.1743082239554952,0.5523537803138374,-1.1604962347907117
REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING,0.36554726990641107,1.3839454967078348,0.6339824285339628,-1.107628130380649,0.3766756108214819,-1.3347000419902046
