pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdgestr
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.08281829419035847,0.14788981105421156,-0.30140002191967336,-1.233099347900982,66,175,"MYC, GPR183, SOCS3, CXCL10, JUN, TRAF1, LDLR, NFKB2, TNFAIP8, MARCKS, LITAF, CDKN1A, CD83, F2RL1, SLC2A6, ETS2, ABCA1, IL6ST, TLR2, IL7R, MAP2K3, TRIB1, TNF, EHD1, TNFRSF9, DUSP2, CD44, RELB, IL18, DUSP4, NFKBIA, MAFF, IFNGR2, SPSB1, ATF3, TAP1, PLAUR, IRS2, IRF1, PFKFB3, TUBB2A, CCND1, IL1B, FUT4, KYNU, FOS, HES1"
HALLMARK_HYPOXIA,0.23940149625935161,0.3740648379052369,-0.27564547518923205,-1.1148159721910953,191,159,"PLAC8, TPI1, JUN, MIF, GPI, LDHA, SCARB1, PDK1, GAPDH, HDLBP, SDC3, TPD52, PDK3, CDKN1A, NDRG1, CSRP2, PGK1, TGFBI, TGM2, GALK1, MAFF, GPC1, XPNPEP1, ANXA2, PDGFB, HMOX1, ATF3, PLAUR, IRS2, HS3ST1, PPFIA4, PFKFB3, SAP30, GLRX, KDELR3, FAM162A, FOS"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.001392757660167131,0.004775549188156638,-0.4850891769858727,-1.7083652290268174,0,62,"FABP5, ACTG1, LDLR, TMEM97, SCD, PDK3, SREBF2, IDI1, FDPS, CXCL16, MVK, LGMN, HMGCR, FDFT1, STARD4, S100A11, SC5D, PPARG, CYP51A1, ATF3, PLAUR, SQLE"
HALLMARK_MITOTIC_SPINDLE,0.0012195121951219512,0.004775549188156638,-0.49043426872478396,-2.02304194756979,0,191,"ESPL1, CENPF, KIF15, PIF1, SMC4, FBXO5, PLK1, BIRC5, NEK2, NUSAP1, KIF11, INCENP, AURKA, CKAP5, TTK, BUB1, KIF2C, PRC1, RFC1, LMNB1, ANLN, TOP2A, KIF20B, CCNB2, KIF4A, DLGAP5, CENPE, NDC80, KIF22, TPX2, ECT2, KNTC1, PCGF5, CDC27, CEP72, SASS6, MARCKS, TUBA4A, RAPGEF6, CNTRL, CLASP1, CEP250, SYNPO, EZR, RAPGEF5, FSCN1, SMC1A, TRIO, UXT, ARHGAP27, KATNB1, ARHGDIA, PCNT, KIF1B, ARHGAP29, AKAP13, MID1, RACGAP1, CD2AP, DLG1, ARFIP2, ALMS1, PALLD"
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.26495726495726496,0.3881552621048419,0.3246670943981814,1.1416092479523279,92,36,"PTCH1, MAML1, FRAT1, AXIN2, AXIN1, CCND2, NCSTN, HDAC11"
HALLMARK_TGF_BETA_SIGNALING,0.0513595166163142,0.09876830118521962,0.3702204781647247,1.3981695461314139,16,47,"SMURF1, SKI, SMAD7, SLC20A1, PPP1R15A, TRIM33, BMPR1A, SMURF2, NCOR2, SKIL, ID2, TGFBR1, CDK9, MAP3K7"
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.001375515818431912,0.004775549188156638,-0.5375407381273515,-1.9561900167382442,0,75,"SOCS3, CXCL10, JUN, SOCS1, CBL, ACVRL1, IL12RB1, PTPN11, CD36, CXCL9, CSF2RA, LTB, IL6ST, TLR2, CSF3R, TNF, EBI3, CD44, CD14, IL13RA1, CSF2RB, IFNGR2, HMOX1, IRF1, IL1B, DNTT, TNFRSF21, TNFRSF1B, IFNAR1, ITGB3, CD38, IL4R, CD9, IL15RA, IL1R2, PDGFC"
HALLMARK_DNA_REPAIR,0.001277139208173691,0.004775549188156638,-0.4180650647631017,-1.6603396966403643,0,136,"DUT, LIG1, TYMS, RAD51, NUDT21, POLA1, RFC3, RFC4, HPRT1, POLR1D, SRSF6, POLD1, PCNA, PRIM1, RFC5, ITPA, IMPDH2, POLH, POLA2, GTF3C5, FEN1, NME4, TP53, RAE1, CMPK2, RPA3, POLR2H, GTF2B, NELFE, NME3, NUDT9, DDB2, ARL6IP1, POLL, UMPS"
HALLMARK_G2M_CHECKPOINT,0.0012300123001230013,0.004775549188156638,-0.7269611779746803,-2.9804615409589452,0,178,"MYC, CCNA2, ESPL1, SMC2, CCNF, CENPF, HMMR, AURKB, TFDP1, UBE2C, CKS2, KIF15, MCM5, DBF4, SMC4, FBXO5, CENPA, PLK1, CHAF1A, CDC6, CDC45, BIRC5, NEK2, NUSAP1, KIF11, INCENP, MCM3, STIL, AURKA, SNRPD1, EXO1, TROAP, MYBL2, EZH2, STMN1, NASP, TTK, ORC6, BUB1, GINS2, KIF2C, PRC1, LMNB1, CDC20, TOP2A, RAD54L, KIF20B, CDKN3, TACC3, CCNB2, KIF4A, UBE2S, CENPE, POLE, CASP8AP2, MKI67, NDC80, KIF22, MCM2, PLK4, TPX2, CDC25B, CHEK1, PBK, ATRX, CDC27, HIF1A, MARCKS, E2F1, KPNA2, POLQ, G3BP1, SUV39H1, TRAIP, SLC7A1, UCK2, LBR, POLA2, MAD2L1, MCM6, HMGA1, PML, CKS1B, CBX1, PRIM2, SMARCC1, MNAT1, CDC25A, PDS5B, SLC38A1"
HALLMARK_APOPTOSIS,0.43994943109987356,0.5365236964632604,-0.25357913637827084,-1.0132458400426054,347,141,"HMGB2, BRCA1, CASP3, JUN, TOP2A, CDC25B, PAK1, NEFH, CDKN1A, TNF, CD44, WEE1, CD14, PTK2, IL18, SC5D, APP, BIK, HMOX1, ATF3, MGMT, TAP1, IRF1, CCND1, GSR, IL1B, GPX1"
HALLMARK_NOTCH_SIGNALING,0.051075268817204304,0.09876830118521962,0.43712018222320154,1.453782218396921,18,28,"LFNG, NOTCH3, MAML2, PSENEN, NOTCH2, FZD5, ST3GAL6, PPARD, DTX1, DTX4, ARRB1"
HALLMARK_ADIPOGENESIS,0.2641975308641975,0.3881552621048419,-0.2664149397405107,-1.088197567672203,213,172,"CHCHD10, DDT, SCARB1, ITIH5, ALDH2, TKT, CD36, SLC27A1, ACADL, ABCB8, ABCA1, CYC1, MGLL, STOM, SLC25A10, LIFR, ELOVL6, COX7B, APOE, COX8A, AIFM1, UCP2, PPARG, COX6A1, TALDO1, NMT1, PFKFB3, BCL2L13, ETFB, VEGFB, OMD, DECR1, IDH3G, CMBL, MRPL15, IDH3A, AK2, PHLDB1, MTCH2, RTN3, ADIPOR2, FABP4, ENPP2, CD302, UBQLN1, MRAP, ADCY6, SDHC, LIPE, NABP1, C3, COQ3, PTGER3, SOD1, EPHX2, SLC19A1, COL15A1"
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.36716791979949875,0.4707281023070497,-0.2616909965005166,-1.0563161702003399,292,156,"MYC, SCARB1, RBBP8, ALDH3B1, SLC16A1, BLVRB, IL6ST, IGFBP4, AFF1, ELOVL5, OLFM1, CD44, FDFT1, TGM2, MYOF, ITPK1, SH3BP5, AKAP1, CCND1, TTC39A, SNX24, FOS, HES1, TGIF2, OPN3, ABCA3, MED24, BAG1, SLC26A2, ADCY1, SLC39A6, WFS1, MYBBP1A, CBFA2T3, PPIF, HR, LAD1, TFF1, RRP12, NXT1, PDZK1, FCMR, FAM102A, MYBL1, SLC9A3R1, CISH, KCNK5, AQP3, TUBB2B, IGF1R, ISG20L2, GAB2, MAST4"
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0012578616352201257,0.004775549188156638,-0.40849650770312773,-1.6446209286358182,0,151,"FABP5, CDC6, ST14, STIL, KIF20A, GINS2, CDC20, TOP2A, PLK4, HPRT1, LSR, CDH1, IMPA2, SCARB1, SERPINA3, RBBP8, ALDH3B1, CKB, SLC16A1, BLVRB, IL6ST, IGFBP4, AFF1, ELOVL5, OLFM1, DUSP2, CD44, GALE, ASS1, FDFT1, MYOF, ITPK1, XRCC3, CCND1, PERP, ETFB, COX6C, FOS, OPN3, ABCA3, ST6GALNAC2, BAG1, SLC26A2, TSPAN13, CA2, CD9, WFS1, PPIF, PLXNB1, HR, TFF1, NXT1, PDZK1, FAM102A, SLC9A3R1, RABEP1, CISH, KCNK5, BATF"
HALLMARK_ANDROGEN_RESPONSE,0.019021739130434784,0.04755434782608696,-0.3995663154749554,-1.4761013401302594,13,82,"INPP4B, CENPN, TNFAIP8, FADS1, TPD52, SCD, SMS, NDRG1, HPGD, IDI1, ELOVL5, MERTK, LIFR, MAF, SPCS3, HMGCR, ACTN1, DBI, CCND1, GSR, XRCC5, ALDH1A3, CDK6, SLC26A2, PGM3, ABCC4"
