pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdgestr
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.002894356005788712,0.0120598166907863,0.3995127349975507,1.663522395745908,1,175,"GPR183, SOCS3, MYC, JUN, TRAF1, TNFAIP8, IL7R, IL6ST, CXCL10, NFKB2, F2RL1, SLC2A6, NFKBIA, IL12B, CD69, TSC22D1, LDLR, TRIB1, RELB, KYNU, PLAUR, CCND1, LITAF, SIK1, MXD1, CD44, SPSB1, REL, ETS2, DUSP4, LIF, NFKBIE, ABCA1, TNF, PMEPA1, EGR2, CD83, FUT4, BIRC3, IRS2, IFNGR2, PFKFB3, TLR2, ATF3, TNFRSF9, IL15RA, PTGER4, IRF1, MAFF, BCL6, SDC4, MARCKS, EGR1, NAMPT, FOS"
HALLMARK_HYPOXIA,0.027065527065527065,0.07960449136919726,0.3283757353697495,1.3612590881058122,18,159,"PLAC8, JUN, PDK1, HS3ST1, NDRG1, MIF, PLAUR, EGFR, PPFIA4, ISG20, TPI1, TPD52, BCL2, KIF5A, GYS1, GPI, SCARB1, NEDD4L, NDST1, PGAM2, IRS2, GALK1, HDLBP, PFKFB3, ATF3, ENO3, GAPDH, MAFF, LDHA, GAA, SDC4, GPC1, SLC25A1, FOS, CSRP2, PDGFB, ZFP36, PRKCA, RBPJ, ZNF292, HEXA, PPARGC1A, AMPD3, GBE1, GLRX, EXT1, ANKZF1, PDK3, TGFBI, PGM2, B3GALT6, SDC2, RRAGD, CHST3"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.6385737439222042,0.7152194211017742,0.24983667722437986,0.8921848502005647,393,62,"LDLR, FADS2, CXCL16, PLAUR, SREBF2, MVK, ACTG1, SCD, ATF3, CD9, FDFT1, HMGCR, TRIB3, HSD17B7, PDK3, TMEM97, IDI1, FDPS, FABP5"
HALLMARK_MITOTIC_SPINDLE,0.002793296089385475,0.0120598166907863,0.3946442286538584,1.6708536480897254,1,191,"ESPL1, PCGF5, CENPF, PIF1, RAPGEF6, CKAP5, KIF15, SMC4, PLK1, KIF11, FSCN1, TRIO, NUSAP1, SSH2, NEK2, AURKA, ARHGAP5, FBXO5, SYNPO, NET1, BUB1, TTK, BIRC5, INCENP, KIF4A, KIF2C, RFC1, RAPGEF5, ARHGEF11, TOP2A, ANLN, KIF20B, ARHGAP27, ARHGAP29, ECT2, AKAP13, KNTC1, BCL2L11, CENPE, DLGAP5, PRC1, CLASP1, KIF22, TPX2, LMNB1, GSN, CEP250, CCNB2, TUBA4A, CDC27, NF1, CNTRL, MARCKS, NDC80, CLIP1, MYO1E, ALS2, PALLD, CEP72, ARFIP2, MID1, CD2AP, PLEKHG2, TUBGCP3, ALMS1, KATNB1, PCNT, RABGAP1, ARHGAP4"
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.3513986013986014,0.5243355747678514,0.3299682799043179,1.0707326296878996,200,36,"MYC, TCF7, TP53, DLL1, FZD1, PSEN2, SKP2"
HALLMARK_TGF_BETA_SIGNALING,0.5107794361525705,0.6080707573244887,0.279289768804728,0.9594535938354783,307,47,"ID3, CDH1, FURIN, PMEPA1, IFNGR2, HIPK2, LEFTY2, ENG, BCAR3, ARID4B"
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0015600624024961,0.008333333333333333,0.5954689354613977,2.207503017193974,0,75,"SOCS3, SOCS1, JUN, LTB, IL6ST, CXCL10, IFNAR1, CSF2RB, CD36, DNTT, IL4R, CBL, CSF2RA, CD44, IL1R2, ACVRL1, TNF, IL12RB1, IL18R1, IFNGR2, EBI3, TLR2, CXCL9, CD38, IL15RA, CD9, ITGB3, ACVR1B, IRF1, STAT1, IL13RA1, PTPN11, TNFRSF1B, IL2RA, CSF2"
HALLMARK_DNA_REPAIR,0.698051948051948,0.7426084553744128,-0.20267619443244642,-0.9069319711752434,214,136,"POLE4, RPA2, AK3, APRT, COX17, RALA, POLR2E, CCNO, NT5C, DAD1, TAF10, GMPR2, SDCBP, RBX1, BCAP31, NELFB, GUK1, BRF2, SNAPC5, POLR3C, POLR2K, TMED2, TAF13, POLR2A, TAF12, POLR2I, CETN2, NCBP2, SURF1, SUPT4H1, GTF2A2, AAAS, TSG101, GTF2H5, ERCC3, EDF1, CLP1, ADRM1, POLR2G"
HALLMARK_G2M_CHECKPOINT,0.001440922190201729,0.008333333333333333,0.5500922022731201,2.2978121811840815,0,178,"MYC, ESPL1, TFDP1, HIF1A, AURKB, HMMR, CENPF, CCNF, CCNA2, TROAP, ATRX, CDC6, KIF15, SMC4, CCND1, PLK1, KIF11, SMC2, MCM5, STIL, UBE2C, NUSAP1, NEK2, EXO1, PML, AURKA, CENPA, FBXO5, CDC45, BUB1, TTK, BIRC5, INCENP, KIF4A, KIF2C, CASP8AP2, MCM3, CHAF1A, CDC20, SLC38A1, TOP2A, DBF4, CKS2, KIF20B, HUS1, NUP98, CENPE, RAD54L, PRC1, KIF22, TPX2, LMNB1, TACC3, E2F1, DKC1, CDC25B, GINS2, CUL5, MCM2, CCNB2, CDKN3, NASP, SLC7A1, CHEK1, POLE, PBK, CDC27, SUV39H1, CDC25A, G3BP1, MARCKS, MNAT1, NDC80, KPNA2, PLK4, SNRPD1"
HALLMARK_APOPTOSIS,0.37752161383285304,0.5243355747678514,0.25474730277916985,1.0360396193690162,261,141,"JUN, CASP3, MGMT, CD69, PAK1, BRCA1, CCND1, PLCB2, ISG20, CD44, SATB1, HMGB2, PPT1, TOP2A, TNF, BCL2L11, BIRC3, TGFBR3, NEFH, GSN, GPX1, CDC25B, ATF3, PSEN2, CD38, BIK"
